user_id,persona,date,day_of_week,is_weekend,sleep_hours,study_hours,screen_time_hours,exercise_mins,mood_score,stress_level,caffeine_intake,water_litres,deep_focus_blocks,social_media_mins,productivity_score,burnout_risk
1,high_stress,2024-01-01,Monday,0,6.2,8.7,6.4,13,3.1,4.3,4,2.5,5,3,65.7,Medium
1,high_stress,2024-01-02,Tuesday,0,5.6,7.3,5.5,26,2.4,4.2,3,2.1,4,0,54.7,Medium
1,high_stress,2024-01-03,Wednesday,0,5.1,7.3,6.2,14,2.3,4.2,4,2.1,4,0,48.2,High
1,high_stress,2024-01-04,Thursday,0,4.4,6.5,6.7,17,2.7,3.4,3,2.5,4,8,49.7,Medium
1,high_stress,2024-01-05,Friday,0,5.1,6.5,5.3,3,2.6,3.8,5,2.2,3,7,47.3,Medium
1,high_stress,2024-01-06,Saturday,1,4.3,5.8,5.8,2,2.8,4.6,5,1.9,4,0,37.2,High
1,high_stress,2024-01-07,Sunday,1,4.3,6.3,5.5,10,2.5,4.4,3,2.8,4,0,38.8,High
1,high_stress,2024-01-08,Monday,0,5.3,7.1,7.2,17,2.3,4.2,4,2.4,4,0,44.4,High
1,high_stress,2024-01-09,Tuesday,0,6.3,6.4,6.0,10,1.9,5.0,3,2.4,3,1,42.8,Medium
1,high_stress,2024-01-10,Wednesday,0,5.2,8.5,6.6,1,2.0,3.7,3,2.3,5,16,52.8,Medium
1,high_stress,2024-01-11,Thursday,0,4.2,8.6,8.1,24,2.3,3.9,3,2.2,5,18,58.2,High
1,high_stress,2024-01-12,Friday,0,5.1,6.9,6.7,10,1.8,4.2,5,2.6,3,10,38.0,High
1,high_stress,2024-01-13,Saturday,1,4.4,5.2,6.3,16,2.9,4.3,3,2.0,3,13,36.8,High
1,high_stress,2024-01-14,Sunday,1,4.3,5.3,7.1,16,2.4,4.4,3,2.3,3,5,29.7,High
1,high_stress,2024-01-15,Monday,0,5.9,6.5,7.2,26,2.8,3.6,3,2.1,4,16,53.0,Medium
1,high_stress,2024-01-16,Tuesday,0,6.0,5.9,8.1,16,2.7,3.4,4,2.7,3,15,48.7,Medium
1,high_stress,2024-01-17,Wednesday,0,5.6,9.6,7.0,8,2.0,4.3,4,2.4,6,0,64.9,Medium
1,high_stress,2024-01-18,Thursday,0,5.5,8.1,6.7,4,2.5,4.2,4,2.5,4,14,53.5,Medium
1,high_stress,2024-01-19,Friday,0,6.4,8.2,5.7,7,2.6,4.3,3,2.2,5,0,63.4,Medium
1,high_stress,2024-01-20,Saturday,1,3.7,7.6,5.7,21,2.5,4.1,3,2.2,4,18,49.1,Medium
